               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071668,            0.022485,             0.05028,             0.15638,             0.76313,             0.18669,             0.10592,            0.033704,           0.0072752,            0.044264,             0.00263,             0.00263,             0.07633
                   1,            0.042479,            0.016774,             0.04745,              0.1661,             0.70761,               0.204,               0.129,            0.029577,           0.0055505,            0.042476,           0.0052658,           0.0052658,            0.052566
                   2,            0.037408,            0.014296,            0.047385,             0.20341,             0.75067,             0.22597,             0.17168,            0.025223,           0.0047074,            0.041051,           0.0078851,           0.0078851,            0.028785
                   3,            0.034081,            0.012744,            0.047259,             0.20631,             0.88021,             0.22581,             0.16801,            0.023098,           0.0041874,            0.040788,           0.0099291,           0.0099291,           0.0099291
                   4,            0.027945,            0.011949,             0.04737,             0.20462,             0.92204,             0.23744,             0.19656,            0.017076,           0.0039543,            0.040689,           0.0099291,           0.0099291,           0.0099291
                   5,            0.025131,            0.011315,            0.047296,             0.21686,             0.89283,             0.26886,             0.22967,            0.014632,           0.0035344,            0.040283,           0.0098743,           0.0098743,           0.0098743
                   6,            0.022481,            0.010747,            0.047025,             0.25295,             0.67716,             0.29865,             0.25222,            0.015541,           0.0036613,            0.039721,           0.0098042,           0.0098042,           0.0098042
                   7,            0.020739,            0.010286,            0.046189,             0.35197,             0.65174,             0.39117,             0.33787,            0.013821,           0.0034729,            0.037935,           0.0097191,           0.0097191,           0.0097191
                   8,            0.020511,            0.010144,            0.044503,             0.34247,             0.80674,             0.43131,             0.35107,            0.016325,            0.003617,            0.035249,           0.0096193,           0.0096193,           0.0096193
                   9,            0.020365,            0.010081,            0.043135,             0.33278,             0.82898,             0.43657,              0.3602,            0.016447,           0.0035285,             0.03521,           0.0095052,           0.0095052,           0.0095052
                  10,             0.01979,           0.0099456,             0.04211,              0.3786,              0.8818,             0.45944,             0.39824,            0.012905,            0.003437,            0.032139,           0.0093773,           0.0093773,           0.0093773
                  11,            0.018774,           0.0095055,            0.040889,             0.35158,             0.82486,             0.45441,             0.40418,            0.012383,           0.0032806,            0.033746,           0.0092361,           0.0092361,           0.0092361
                  12,            0.018435,           0.0096518,             0.04053,             0.43137,             0.74266,              0.4803,             0.42403,             0.01137,           0.0034167,            0.031919,           0.0090821,           0.0090821,           0.0090821
                  13,            0.018261,            0.009448,            0.039566,             0.34379,              0.7502,             0.45492,             0.40343,            0.013041,           0.0033687,            0.037265,           0.0089159,           0.0089159,           0.0089159
                  14,             0.01774,           0.0095662,            0.039711,             0.47984,             0.81736,             0.58412,             0.50965,            0.012687,           0.0032659,            0.028531,           0.0087382,           0.0087382,           0.0087382
                  15,            0.017881,           0.0095151,            0.037623,             0.56014,             0.84916,             0.59865,             0.52423,            0.012924,           0.0032503,            0.026681,           0.0085497,           0.0085497,           0.0085497
                  16,            0.017592,           0.0096338,            0.036303,              0.5484,              0.8902,             0.61274,             0.54599,            0.011436,           0.0032869,            0.024908,           0.0083511,           0.0083511,           0.0083511
